Gene,Sentitive_1,Sentitive_2,Sentitive_3,Sentitive_4,Sentitive_5,Resistant_1,Resistant_2,Resistant_3,Resistant_4,Resistant_5
TSPAN8,9.370352703,9.032855351,9.167485079,9.830295425,9.424549286,2.982262285,2.678714556,3.246533248,3.308053419,3.047438768
MEOX2,6.783253781,6.350567735,6.391808205,6.203163334,6.434084325,2.469757433,1.782181187,2.431064188,1.912451976,2.284274576
LGR5,8.117086173,7.513462265,7.615829398,8.039278337,8.102853174,2.795540367,2.977072028,2.98520719,2.733801691,2.75420428
PTPRR,7.416690707,6.792254919,6.911721344,7.400006542,7.207612436,2.837740749,2.986565759,2.529522385,2.756583958,2.314546853
BRINP3,6.141946808,5.463084319,5.582197928,6.022301525,5.855016068,2.213752244,2.405226664,2.445646719,2.361082293,2.613024109
TM4SF1,9.122224739,8.313579108,8.369775451,9.145300715,8.75010545,4.11780931,3.2353072,3.692428728,4.168123185,4.10598578
EPHA3,5.792623939,5.582150443,5.441940091,5.895498277,5.430894191,2.387896741,2.363360949,2.762183682,2.49699919,2.465199119
MMP3,9.570728508,8.814431187,8.82859649,9.718710932,9.401086878,4.126019021,3.717658455,4.261220234,4.275604259,4.401560027
LRRTM4,3.787245768,3.515657944,3.43715581,3.43523785,3.461467695,1.663981145,1.915541598,1.676810311,1.528921702,1.366416117
PDZK1,5.079516841,5.114580036,4.765138139,5.578351615,4.854901522,2.396340235,2.658018927,2.11366978,2.456479078,2.304144188
SLC27A6,5.382858603,5.40350578,5.836112928,5.915373371,5.740668535,2.814194395,2.808864249,2.554936413,2.995149077,2.750432715
LINC01351,5.356848711,5.320995305,5.015619482,5.255067837,4.999887924,2.664435259,2.356862642,2.308196265,2.881787088,2.620007538
PTGS2,4.918661502,4.440328629,4.37968459,4.317196296,4.212152777,2.313937459,2.343549858,2.210036188,2.041057394,2.219199324
PDGFC,5.283909635,5.174130463,5.215756651,5.452873655,5.407700349,2.96178175,2.796825168,2.609947184,2.403127113,2.640886921
PPP1R9A,3.833977852,3.487984,3.805232757,3.996674655,3.215278825,1.963634744,1.810447702,1.871464652,1.894279169,1.849694699
COL11A1,5.788882459,6.274565215,5.929813625,6.564641411,5.959442249,3.214604055,3.081136755,2.928542517,3.436670531,2.99293619
COL6A3,10.32398207,10.03620154,10.1076788,10.87739826,10.38191422,5.339506027,5.339773931,5.190134118,5.315159673,5.728679263
ACKR3,5.638163343,5.443075723,5.620703316,4.887692103,5.139047492,2.95881404,2.696284382,2.517925526,2.716964179,3.410657799
CRIM1,5.981916828,5.972784243,5.873326193,5.469814895,5.142524061,3.519075734,2.991748433,2.901362064,2.744243965,3.307905948
SLC26A7,4.360422071,3.940951721,4.291553841,4.283111028,3.952361074,2.501248445,2.343336796,2.085546385,2.20145148,2.246922962
MRC1,7.185308091,7.257675478,7.03464952,7.695576179,7.000984277,3.865296703,4.33615002,3.899391112,3.86881332,3.829790404
PLA2G4A,7.008153241,6.432021887,6.576098976,7.156484071,6.771490848,3.68143081,3.357145169,3.722317649,3.783248552,4.090422335
