GNF_REG_ID	compound name	other name	DESCRIPTION	5637	22Rv1 	786-O 	A-204 	A-253 	A2780 	A3/KAW 	A-375 	A4/Fuk 	A-498 	A549 	ABC-1 	AGS 	Alexander cells 	AN3-CA 	BGC-823 	BT-20 	BT-474 	C32 	CAL-12T 	CAL27 	Calu-1 	CHL-1 	CMK-86 	COLO-818 	COR-L105 	COR-L23 	DAN-G 	DB 	DBTRG-05MG 	DMS 79-CTG 	DOV13 	DU145 	EFE-184 	EFM-19 	EFO-27 	EN 	ESS-1 	EVSA-T 	FaDu 	G-401 	G-402 	GOS-3 	HCC1395 	HCC-366 	HCC-44 	HCC70 	HCC-78 	HCT-15 	HEC-1-A 	HEC-251 	HEC-265 	Hey-A8 	HLF 	Hs578T 	Hs766T 	Hs944.T 	HSC-2 	HT-1197 	HT-29 	HuH-1 	HuH-7 	HUP-T3 	HUP-T4 	HuTu 80 	IGR-39 	IGROV1 	IM95 	IMR-32 	J82 	JHH-1 	JHH-4 	JHOS-2 	JHUEM-1 	JHUEM-2 	KALS-1 	KATO III 	KG-1 	KM12 	KMBC-2 	KMRC-20 	KMS-11 	KMS-26 	KMS-27 	KMS-28BM 	KMS-34 	KNS-62 	KNS-81 	KP-1N 	KP-2 	KP-3 	KS-1 	KYSE-150 	KYSE-30 	KYSE-510 	L3.3 	LK-2 	LN-18 	LN-229 	LOU-NH91 	LoVo 	LS180 	M059K 	Malme3M 	MDA-MB-453 	MIA-PaCa-2 	MKN7 	MKN74 	MM1-S 	MOG-G-CCM 	MOLM-13 	MOLT-4 	MSTO-211H 	MV4-11 	NCI-H1299 	NCI-H1395 	NCI-H146-CTG 	NCI-H1563 	NCI-H1573 	NCI-H1650 	NCI-H1651 	NCI-H1793 	NCI-H1975 	NCI-H2052 	NCI-H2066 	NCI-H209-CTG 	NCI-H211 	NCI-H2122 	NCI-H2170 	NCI-H23 	NCI-H2347 	NCI-H2444 	NCI-H2452 	NCI-H441 	NCI-H446 	NCI-H522 	NCI-H524-CTG 	NCI-H661 	NCI-H810 	NCI-H838 	NCI-N87 	NIH:OVCAR-3 	NMC-G1 	NUGC-3 	NUGC-4 	ONS-76 	OV56 	OVCAR-8 	OVISE 	OVKATE 	OVSAHO 	OVTOKO 	Panc10.05 	PA-TU-8902 	PA-TU-8988T 	PC-3 	RERF-LC-Ad1 	RERF-LC-Ad2 	RERF-LC-MS 	RKO 	RMG-I 	RPMI-7951 	RT-112 	SBC-5 	SCaBER 	SCC-9 	SEM 	SJRH30 	SJSA-1 	SK-BR-3 	SK-CO-1 	SK-HEP-1 	SK-MEL-2 	SK-MEL-28 	SK-MEL-31 	SK-MEL-5 	SK-MES-1 	SK-N-BE 	SNB-19 	SNU-398 	SNU-423 	SW1088 	SW403 	SW48 	SW480 	SW579 	SW948 	T24 	T3M-4 	T-47D 	TCC-PAN2 	TE-11 	TE-9 	THP-1 	Toledo 	TOV-112D 	U-87MG 	U-937 	UACC-257 	VMRC-RCW 	WM-266-4 	YH13 	ZR-75-1 
GNF-00-0325-0295-7	PHA-665752		[Pha-665752,5-((2,6-dichlorobenzyl)sulfonyl)-3-((3,5-dimethyl-4-((2-(pyrrolidin-1-ylmethyl)pyrrolidin-1-yl)carbonyl)-1H-pyrrol-2-yl)methylene)-1,3-dihydro-2H-indol-2-one][CAS:477575-56-7][MOA:Apoptosis-inducer; Cytostatic; Tyrosine-kinase-inhibi ...]	>20	>20	9.09	>20	>20	>20	16.97	10.3	>20	11.43	>20	>20	>11.94	>20	>20	>20	>20	>20	>20	19.44	>20	>20	7.65	>20	>20	>20	>20		>20	>20	>20	9.09	>20	>20	>20	18.55	>20	12.69	>20	>20	19.46	>20	>20	>20	>20	13.08	>20	>20	18.03		>20	>20	>20		>20	>20	>20		>20	>20	>20	>20	>20	>20	>20		>20		>20	11.67	>20		>20	>20		>20	>20	>20	2.12	>20	19.71	>20	>20	7.6	>20	>20	>20	>20	>20	>20	>20	>20	6.13	12.29	>20	>20	11.21	8.9	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	10.0	15.28	15.24	1.605		>20	>20	>20		>20		>20	>20	>20		>20	>20	>20	>20	>20	>20	>20	>20	>20	17.63	>20	6.14	>20	>20	>20	>20	>20	>20	>20	>20	15.36	>20	8.09	>20	>20		11.31	>20	>20	>20	>20	>20	>20	>20	>20		11.52	>20	>20	>20	>20	8.62	12.06	>20	>20	>20	8.6	>20	15.35	19.53	>20	>20	>20	>20	>20	>20		>20	>20		11.97	>20	19.6	>20	>20	14.47	10.88	>20	>20	13.24	>20	>20	>20	16.49	18.81	18.17	>20	>20
GNF-00-0519-9793-4	AZD6244	Selumetinib	[Selumetinib,AZD 6244][MOA:Apoptosis-inducer; Cytostatic; Mek-1-protein-kinase-inhibitor][Target:Mek1][GNF Document:ALK\GNF March 2009 MEKEFF.ppt, B-Raf\2008-10-14-MEKFF-ODB-final.ppt][Patent:N3 alkylated benzimidazole derivatives as mek inhibit ...]	>20	>20	>20	>20	0.161	>20	>20	0.007	>20	>20	18.16	>20	0.009	>20	>20	>20	>20	>20	0.124	>20	0.013		>20	>20	0.006	7.69	>20	>20	>20	0.013	>20	>20		NoFit	>20	0.151	>20	>20	>20	>20	>20	>20	>20	>20	>20	6.69	>20	>20	2.826	>20	>20	>20	0.613	>20	>20	NoFit	0.041	14.81	>20	0.011	>20	11.27	NoFit	0.013	>20	>20	0.07	NoFit	>20	>20	0.179	11.59	>20	>20	>20	8.6	>20	0.696		>20	>20	>20	>20	>20	>20	>20	0.037	>20	>20	>20	0.249	NoFit	0.025		>20	>20	>20	>20	7.8	>20	>20	2.05	>20	0.01	>20	0.1	>20	>20	>20	>20	5.58	>20	9.32	0.383	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	14.42	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	NoFit	>20	>20	0.008	>20	3.86	>20	>20	>20	>20	2.318	NoFit	>20	>20	>20	>20	>20	NoFit	NoFit	3.67	5.31	>20	3.2	2.763	>20	>20	>20	>20	0.092	0.213	0.231	>20	>20	0.065	4.87	0.018	>20	>20	>20	>20	NoFit	>20	NoFit	14.42	>20	0.088	>20	>20	0.013	>20	>20	>20	>20	>20	>20	>20	0.013	>20	0.018	>20	>20
GNF-00-0520-3101-3	Tozasertib	VX680	[Tozasertib,Vx680][CAS:639089-54-6][MOA:Abl-tyrosine-kinase-inhibitor; Apoptosis-inducer; Cytostatic; Synergist; Tyrosine-kinase-inhibitor][Indication:Aurora kinase inhibitor highest phase:Phase 2 - Acute lymphoblastic leukemia, Chronic myelocyt ...]	0.209	0.052	0.641	0.025	0.065	0.068	0.081	0.039	0.07	0.032	0.071	0.042	0.012	0.462	0.03	0.223	0.016	>20	0.153	0.037	0.123	0.145	0.05	0.082	0.551	0.164	0.216	<0.001221	0.116	0.125	>20	0.06	0.171	15.62	0.165	0.073	0.049	0.157	0.055	0.051	0.173	0.028	0.09	0.254	0.236	0.169	>20	0.263	0.726	<0.001221	0.05	0.159	0.078	0.018	8.1	0.359	0.157	<0.001221	0.756	0.391	0.807	0.089	0.174	0.89	0.021	NoFit	0.084	>20	0.027	0.206	0.063	0.016	>20	0.035	<0.001221	0.014	0.202	0.061	0.064	0.062	0.483	0.146	0.056	0.033	0.031	0.125	0.391	0.176	4.01	1.369	0.333	0.027	0.043	0.07	0.219	0.398	0.058	0.143	0.096	>20	0.167	0.382		7.02	NoFit	0.046	0.805	0.167	0.041	0.664	0.023	0.024	0.074	0.014	<0.001221	>20	>20	15.62	NoFit	0.218	>20	>20	0.216	0.511	0.068	0.206	0.051	0.168	0.271	0.387	>20	>20	1.146	>3.73	0.115	0.196	0.038		0.06	0.154	0.138	0.197	5.05	0.089	0.158	0.095	>20	0.145	0.144		0.033	0.358	0.374	0.147	0.088	0.068	0.399	0.367	0.223	0.039	<0.001221	0.123	0.156	0.071	0.075	0.233	0.037	0.06	0.202	0.206	0.085	0.052	0.042	0.687	>20	0.237	0.259	0.055	0.044	0.038	>20	0.02	>20	0.018	0.002	0.073		0.328	0.334	0.18	0.416	0.106	0.122	0.023	0.062	0.029	0.111	0.024	0.711	6.15	0.049	0.047	0.034
GNF-00-0526-5527-3	Nutlin-3		[Analog][nutlin-3a,nutlin-3][CAS:548472-68-0][MOA:Apoptosis-inducer; Cell-cycle-inhibitor; Cytostatic; Mdm2-p53-binding-protein-inhibitor; Ubiquitin-ligase-inhibitor][Target:P53 kinase, MDM2/p53, Mdm2, MDM2 oncogene, MDM2 Oncogene][GNF Document: ...]	>20	9.73	>20	3.56	>20	14.24	4.57	2.58	>20	1.973	2.458	>20	1.885	>20	>20	>20	>20	>20	3.63	>20	>20	>20	>20	16.91	>20	2.485	>20		>20	0.606	>20	>18.97	>20	>20	>20	>20	>20	>20	17.69	>20	2.982	1.289	1.671	>20	>20	>20	>20	>20	>20		>20	7.49	2.798		>20	>20	>20		2.38	>20	>20	>20	>20	>20	1.967		14.12		6.27	>12.34	5.84		>20	3.96		1.256	>20	13.3	>20	19.77	>20	>20	>20	>20	>20	>20	>20	0.91	>20	>20	>20	0.61	10.41	>10	>20	>20	9.61	>20	5.68	>20	19.35	17.44	>20	6.61	>20	>20	>20	>20	0.265	>20	0.584	2.257	1.754	0.647		>20	>20	>20		>20		>20	>20	1.331		>20	>20	>20	>20	>14.28	>20	>20	>20	>20	>20	>20	13.96	>20	>20	>20	>20	18.05	0.456	>20	>20	0.598	>20	10.91	1.33	>20		1.486	>20	>20	>20	>20	>20	>20	>20	4.03		15.98	>20	>20	>20	>20	3.54	>20	>20	>20	4.65	0.938	>20	>20	3.47	1.698	>20	>20	>20	>20	>20		>20	15.9		>19.03	>20	>20	>20	>20	>20	>20	>20	>20	>20	15.83	>20	>20	1.106	>20	1.252	>20	2.265
GNF-00-0526-5536-4	Sorafenib	Nexavar	[Sorafenib(in Wikipedia),Nexavar][CAS:284461-73-0,475207-59-1][MOA:Antineoplastic Agents; Protein Kinase Inhibitors][Indication:For the treatment of patients with advanced renal cell carcinoma.][Toxicity:Most of the dose-limiting toxicities incl ...]	>20	>20	>20	1.631	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	13.97	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	1.288	>20	>20	>20	>20	>20	>20	>20	11.59	>20	>20	>20	10.12	>20	>20	>20	4.05	>20	>20	>20	>20	>20	>20	>20	15.59	>20	NoFit	>20	>20	>20	11.44	>20	>20	9.62	>20	18.59	>19.14	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	0.009	>20	8.46	0.006	6.16	>20	>20	>20	8.6	>20	19.19	>20	>20	>20	8.13	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	16.65	>20	>20	>20	>20	>20	>20	>20	>20	>20	17.22	>20	>20	>20	>20	>20	0.092	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	13.51	>20	>20	10.55	0.508	>20	>20	>20	19.55	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20
GNF-00-0526-5570-6	PF-2341066	Crizotinib	[pf-2341066][MOA:Apoptosis-inducer; Cyclic-amp-agonist; Cytostatic][Indication:C-MET tyrosine kinase antagonist highest phase:Phase 1 - Cancer, Stomach tumor][Target:Hgfr, Hepatocyte growth factor receptor, C-MET][GNF Document:ROS\Ros07-02-08MX. ...]	9.14	2.915	8.11	1.248	4.43	4.11	2.266	1.253	1.696	1.703	2.028	1.224	0.493	12.22	1.547	1.27	3.52	9.01	10.19	0.8	3.68	6.42	10.2	1.241	16.8	4.09	3.72	0.188	2.679	3.77	16.63	1.273	3.35	>20	11.7	2.01	3.17	4.8	4.66	3.91	2.459	0.78	13.89	15.06	10.26	4.5	15.15	5.55	3.87	2.579	3.65	0.111	4.33	1.79	9.94	5.35	8.49	0.145	3.97	9.98	2.333	3.93	8.52	4.1	0.948	1.658	3.55	7.34	1.848	3.61	6.72	0.666	8.63	1.778	8.07	0.673	7.98	0.972	0.021	4.55	6.9	2.394	2.056	1.67	1.012	2.119	10.78	4.79	1.625	8.96	3.41	1.273	2.501		4.58	9.53	3.58	1.373	3.48	>20	6.94	4.57	5.24	8.5	2.468	0.663	19.52	7.06	2.322	19.4	1.298	1.113	1.911	0.408	1.23	>20	9.48	9.06	9.86	4.36	17.18	>20	4.09	9.53	9.82	5.97	3.38	7.43	3.26	6.48	19.19	18.28	14.71	14.52	3.63	15.46	2.623	2.418	2.596	2.451	8.65	8.71	2.235	3.51	>20	2.564	>20	8.31	6.71	>15.78	14.82	5.69	12.49	7.52	1.142	3.27	>20	5.9	1.606	0.886	NoFit	1.722	6.7	2.768	4.28	10.2	0.448	3.25	6.93	13.06	2.555	2.001	6.34	>20	>20	7.63	3.48	3.9	1.196	0.736	6.88	1.811	>20	1.152	7.75	1.131	14.62	7.06	10.99	9.61	3.97	1.657	4.2	0.973	1.464	0.396	>20	0.792	6.87	14.18	3.54	7.66	7.02
GNF-00-0526-9948-6	Staurosporine		[Staurosporine(in Wikipedia),Sch-47112][CAS:62996-74-1,622996-74-1][MOA:Enzyme Inhibitors][Indication:Protein kinase C inhibitor; CDK1 inhibitor; CDK4 inhibitor highest phase:Research Tool - Cancer, Hypertension; Platelet biosynthesis stimulant; ...]	0.008	0.01	0.005	<0.001221	0.037	0.094	0.005	0.003	0.004	<0.001221	0.003	0.008	<0.001221	0.014	0.021	0.005	0.047	0.184	0.007	<0.001221	0.004	<0.001221	0.005	0.009	0.02	<0.001221	0.035	<0.001221	0.003	<0.001221	0.708	0.007	<0.001221	<0.001221	0.035	<0.001221	0.017	<0.001413	0.003	0.011	<0.001361	<0.001221	0.004	0.014	0.032	<0.001221	0.233	0.007	0.002	<0.001221	0.011	NoFit	0.003	<0.001221	<0.001221	<0.001221	0.016	<0.001221	0.012	0.025	0.099	0.02	0.007	<0.001221	0.009	<0.001221	<0.001221	<0.001221	0.044	0.004	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	0.036	0.016	0.004	<0.001221	0.027	0.007	0.007	0.003	0.002	0.004	0.003	0.002	0.008	<0.001563	0.007	<0.001221	0.003	<0.001221	<0.001221	0.018	<0.002639	0.035	0.001	0.004	<0.001221	0.005	0.049	<0.001221	0.021	0.006	0.005	0.015	0.006	0.011	0.094	<0.001221	0.008	0.024	<0.001221	<0.001221	1.207	0.016	0.004	<0.001221	0.007	<0.001221	0.044	<0.001221	0.01	0.003	0.011	0.007	0.002	0.006	0.01	>1.143	0.008	0.002	0.019	0.002	0.111	0.005	<0.00339	0.004	0.001	0.009	0.003	<0.001369	<0.001221	0.123	<0.001221	>1.428	0.009	0.145	0.013	<0.001221	<0.001221	0.003	0.008	<0.001221	<0.001221	0.292	0.031	<0.001221	0.062	<0.001221	<0.001221	0.006	0.024	<0.001221	<0.001221	<0.001221	0.005	0.004	0.004	0.003	0.006	0.005	0.116	0.224	0.018	<0.001221	0.027	0.01	0.001	0.006	<0.001221	0.466	0.005	<0.001221	<0.001221	0.006	<0.001221	0.027	0.027	<0.001221	<0.001221	0.021	0.006	<0.001221	0.007	0.01	0.006	0.033	0.006	0.006	<0.001221	0.038
GNF-00-0527-1619-5	 Docetaxel	Taxotere	[Docetaxel(in Wikipedia),Taxotere][CAS:114977-28-5,148408-66-6][MOA:Antineoplastic Agents][Indication:For the treatment of patients with locally advanced or metastatic breast cancer after failure of prior chemotherapy. Also used as a single agen ...]	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	0.002	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	NoFit	<0.001221	<0.001221	<0.001221	<0.001221	<0.001239	>20	<0.001221	<0.001221	>20	<0.001221	<0.001221	NoFit	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	NoFit	<0.001221	<0.001221	>20	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	NoFit	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	0.002	<0.001221	>20	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	>20	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	>20	<0.001221	<0.001291	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	NoFit	>20	<0.001221	<0.001221	>20	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	>20	>20	>20	<0.001221	<0.001221	<0.001221	NoFit	<0.001221	NoFit	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	>20	>20	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	>20	<0.001221	NoFit	<0.001221	>20	<0.001221	NoFit	NoFit	>20	<0.002355	<0.001221	<0.001221	<0.001221	<0.001221	NoFit	NoFit	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	>20	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	NoFit	<0.001221	>20	<0.001221	<0.001221	<0.001221	NoFit	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	>20	0.019	<0.001221	<0.001221	0.004
GNF-00-0527-1633-3	Paclitaxel	Taxol	[Paclitaxel(in Wikipedia),Paclitaxel - MGI GP][CAS:33069-62-4,197778-55-5][MOA:Antineoplastic Agents Phytogenic; Tubulin Modulators][Warning:Discontinued-II][Indication:Paclitaxel is a potent inhibitor of eukaryotic cell replication, blocking ce ...]	<0.001221	<0.001221	0.011	<0.001221	<0.001221	<0.001221	0.001	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	0.003	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	0.001	0.005	<0.001221	<0.001221	<0.001221	0.004	>20	<0.001221	<0.001221	>20	<0.001221	<0.001221	NoFit	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	NoFit	<0.001221	0.026	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	NoFit	<0.001221	<0.001221	NoFit	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	0.001	0.005	<0.001221	>20	<0.001221	<0.001221	<0.001221	<0.001221	0.006	<0.001221	<0.001221	>20	NoFit	<0.001221	NoFit	NoFit	<0.001221	<0.001221	NoFit	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	NoFit	NoFit	<0.001221	<0.001221	NoFit	<0.001221	NoFit	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	>20	>20	>20	<0.001221	<0.001221	<0.001221	NoFit	<0.001221	NoFit	<0.001221	<0.001221	NoFit	<0.001221	<0.001221	<0.001005	>20	>16.33	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	NoFit	<0.001221	<0.001221	<0.001221	<0.001221	NoFit	<0.001221	NoFit	<0.001221	>20	<0.001221	<0.001221	NoFit	~0.1562	<0.001221	<0.001221	0.004	<0.001221	<0.001221	0.004	NoFit	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	<0.001221	>20	<0.001221	<0.001221	<0.001221	NoFit	<0.001221	<0.001221	0.018	<0.001221	>20	<0.001221	<0.001221	<0.001221	NoFit	<0.001221	<0.001221	<0.001221	0.001	<0.001221	<0.001221	NoFit	<0.001221	<0.001221	NoFit	<0.001221	NoFit	0.07	<0.001221	<0.001221	<0.001221
GNF-00-0527-1635-5	L-685458		[L-682679,L-685458][CAS:126409-24-3,132565-31-2][MOA:Virucide; Gamma-secretase-inhibitor][Target:HIV Protease, Gamma secretase, Beta-amyloid protein, Secretase, Gamma secretase, Gamma Secretase][Crystal:1IZH|Inhibitor Of Hiv Protease With Unusua ...]	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20
