GNF_REG_ID	CPD_SID	ASSAY_ID	ASSAY_NAME	Cell line name	EXP_ID	FUZZY	IC50	STDV	R2	NOTE	TOP	BOTTOM	SLOPE	20	5	1.25	0.3125	0.07813	0.019531	0.004883	0.0012207
GNF-00-0325-0295-7	SID7205981	6356	5637-ECHO	5637	69913	>	20.0		0.859		1.004	0.3	-0.761	0.707	0.834	0.935	1.029	1.011	0.971	1.064	0.928
GNF-00-0325-0295-7	SID7205981	6356	5637-ECHO	5637	69913	>	20.0				1.135	0.3		0.838	0.89	0.959	0.946	0.996	0.97	1.016	1.135
GNF-00-0325-0295-7	SID7205981	6356	5637-ECHO	5637	69913	>	20.0				0.937	0.3		0.831	0.924	0.968	1.063	0.937	1.023	1.095	0.937
GNF-00-0325-0295-7	SID7205981	6512	22Rv1-ECHO	22Rv1	72418	>	20.0		0.723		1.169	0.0	-0.786	0.741	0.931	1.139	1.182	1.032	1.267	1.279	1.029
GNF-00-0325-0295-7	SID7205981	6512	22Rv1-ECHO	22Rv1	72418	>	20.0		0.804		1.037	0.0	-1.444	0.675	0.982	0.984	1.031	0.932	1.055	1.153	1.041
GNF-00-0325-0295-7	SID7205981	6512	22Rv1-ECHO	22Rv1	72418	>	20.0		0.667		1.064	0.028	-3.33	0.682	1.068	0.973	1.107	1.095	1.165	1.155	0.88
GNF-00-0325-0295-7	SID7205981	6227	786-O-ECHO	786-O	69866	=	7.575	3.205	0.876	Steep Curve	0.938	0.141	-3.33	0.1715	0.776	1.073	0.892	0.782	1.029	1.02	0.831
GNF-00-0325-0295-7	SID7205981	6227	786-O-ECHO	786-O	69866	=	9.087	0.807	0.994	Steep Curve	1.004	0.0	-3.231	0.0726	0.877	0.99	1.043	1.025	0.961	1.017	0.985
GNF-00-0325-0295-7	SID7205981	6227	786-O-ECHO	786-O	69866	=	9.365	1.265	0.986	Steep Curve	0.954	0.0	-3.314	0.0718	0.848	0.968	1.003	0.983	0.943	0.951	0.876
GNF-00-0325-0295-7	SID7205981	6228	A-204-ECHO	A-204	69867	>	20.0				0.993	0.3		0.816	0.932	0.936	1.02	1.051	0.998	1.151	0.993
GNF-00-0325-0295-7	SID7205981	6228	A-204-ECHO	A-204	69867	>	20.0		0.695		1.027	0.127	-3.33	0.87	1.061	0.978	1.023	1.096	1.021	1.006	1.005
GNF-00-0325-0295-7	SID7205981	6228	A-204-ECHO	A-204	69867	>	20.0				0.99	0.3		0.845	0.958	1.099	0.999	1.103	1.069	1	0.99
GNF-00-0325-0295-7	SID7205981	6188	A-253-ECHO	A-253	73828	>	20.0		0.956		0.929	0.01	-3.33	0.523	0.936	0.958	1.063	0.875	0.937	0.964	0.895
GNF-00-0325-0295-7	SID7205981	6188	A-253-ECHO	A-253	73828	>	20.0		0.763		0.963	0.001	-3.33	0.654	1.003	0.969	1.078	0.95	0.897	0.955	0.886
GNF-00-0325-0295-7	SID7205981	6188	A-253-ECHO	A-253	73828	>	20.0		0.912		0.976	0.0	-1.738	0.65	0.94	0.935	1.016	1.009	0.997	0.816	0.913
GNF-00-0325-0295-7	SID7205981	6669	A2780-ECHO	A2780	73829	>	20.0		0.612		0.993	0.251	-3.27	0.923	1.011	0.962	1.019	0.971	0.986	0.997	1.006
GNF-00-0325-0295-7	SID7205981	6669	A2780-ECHO	A2780	73829	>	20.0				1.036	0.3		0.974	0.99	1.038	0.994	0.955	0.952	0.962	1.036
GNF-00-0325-0295-7	SID7205981	6669	A2780-ECHO	A2780	73829	>	20.0				0.993	0.3		1.022	0.95	1.002	0.949	0.972	0.946	0.978	0.993
GNF-00-0325-0295-7	SID7205981	6528	A3/KAW-ECHO	A3/KAW	71839	>	20.0		0.955		1.007	0.013	-2.009	0.534	0.957	0.977	1.055	0.937	1.039	1.011	1.014
GNF-00-0325-0295-7	SID7205981	6528	A3/KAW-ECHO	A3/KAW	71839	=	16.969	1.385	0.938	Curve Extrapolation (Bottom)	1.044	0.0	-3.33	0.381	1.049	1.056	0.951	1.121	0.982	1.116	1.016
GNF-00-0325-0295-7	SID7205981	6528	A3/KAW-ECHO	A3/KAW	71839	=	16.89	3.13	0.915	Curve Extrapolation (Bottom)	1.045	0.0	-3.215	0.384	1.026	1.008	1.075	1.006	1.114	0.919	1.149
GNF-00-0325-0295-7	SID7205981	6414	A-375-ECHO	A-375	70569	=	7.866	1.773	0.909	Steep Curve	0.983	0.0	-3.33	0.02271	0.813	0.79	1.124	0.922	0.929	1.099	1.025
GNF-00-0325-0295-7	SID7205981	6414	A-375-ECHO	A-375	70569	=	10.303	1.756	0.94		0.949	0.0	-3.33	0.01963	0.959	0.873	0.858	1.072	0.916	0.581	0.2149
GNF-00-0325-0295-7	SID7205981	6414	A-375-ECHO	A-375	70569	=	10.57	4.098	0.908	Steep Curve	1.038	0.0	-3.33	0.02964	1.07	0.975	0.861	1.063	1.123	1.165	0.947
GNF-00-0325-0295-7	SID7205981	6529	A4/Fuk-ECHO	A4/Fuk	72394	>	20.0				0.847	0.3		1.45	1.365	1.141	1.291	1.176	1.238	1.029	0.847
GNF-00-0325-0295-7	SID7205981	6529	A4/Fuk-ECHO	A4/Fuk	72394	>	20.0				1.004	0.3		1.239	1.176	1.051	1.546	1.015	1.057	1.033	1.004
GNF-00-0325-0295-7	SID7205981	6529	A4/Fuk-ECHO	A4/Fuk	72394	>	20.0				1.071	0.3		1.162	1.444	1.422	1.353	1.167	1.24	1.179	1.071
GNF-00-0325-0295-7	SID7205981	6278	A-498-ECHO	A-498	69853	=	13.517	3.37	0.909	Steep Curve	0.984	0.0	-3.33	0.197	1.012	1.058	0.945	0.876	0.885	1.124	0.955
GNF-00-0325-0295-7	SID7205981	6278	A-498-ECHO	A-498	69853	=	9.224	3.13	0.967	Steep Curve	1.111	0.239	-3.33	0.3006	1.009	1.209	1.111	1.079	1.022	1.12	1.123
GNF-00-0325-0295-7	SID7205981	6278	A-498-ECHO	A-498	69853	=	11.429	2.568	0.929	Steep Curve	1.045	0.0	-3.244	0.1454	0.982	0.896	1.196	1.104	1.059	0.976	1.036
GNF-00-0325-0295-7	SID7205981	6401	A549-ECHO	A549	70212	>	20.0				0.898	0.3		0.919	0.639	0.998	1.059	0.901	0.992	1.225	0.898
GNF-00-0325-0295-7	SID7205981	6401	A549-ECHO	A549	70212	>	20.0				0.98	0.3		0.895	1.041	0.887	0.852	1.086	1.082	1.092	0.98
GNF-00-0325-0295-7	SID7205981	6401	A549-ECHO	A549	70212	>	5.0				0.8	0.3			1.018	0.937	1.108	1.022	1.045	0.966	0.685
GNF-00-0325-0295-7	SID7205981	6670	ABC-1-ECHO	ABC-1	73830	>	20.0		0.962		0.958	0.3	-1.097	0.636	0.824	0.943	0.99	0.966	0.932	0.932	0.829
GNF-00-0325-0295-7	SID7205981	6670	ABC-1-ECHO	ABC-1	73830	>	20.0				0.808	0.0		0.622	0.674	0.925	0.855	0.96	1.069	0.889	0.808
GNF-00-0325-0295-7	SID7205981	6670	ABC-1-ECHO	ABC-1	73830	>	20.0		0.637		0.912	0.3	-1.905	0.625	0.876	0.892	1.034	0.988	0.838	0.919	0.796
GNF-00-0325-0295-7	SID7205981	6416	AGS-ECHO	AGS	70570	>	20.0		0.658		1.118	0.001	-3.33	0.61	1.129	1.26	0.889	0.919	1.215	0.942	1.235
GNF-00-0325-0295-7	SID7205981	6416	AGS-ECHO	AGS	70570	=	7.129	6.376	0.812	Low Confidence	1.021	0.3	-1.511	0.436	0.738	1.026	0.884	1.156	1.016	1.129	0.87
GNF-00-0325-0295-7	SID7205981	6298	Alexander cells-ECHO	Alexander cells	69890	>	20.0				0.871	0.3		0.859	1.05	1.047	1.062	1.097	1.123	0.925	0.871
GNF-00-0325-0295-7	SID7205981	6298	Alexander cells-ECHO	Alexander cells	69890	>	20.0				0.923	0.3		0.844	1.048	1.094	1.183	1.119	0.893	1.112	0.923
GNF-00-0325-0295-7	SID7205981	6298	Alexander cells-ECHO	Alexander cells	69890	>	20.0		0.915		1.043	0.3	-2.779	0.746	1.03	1.107	1.058	1.032	1.026	0.996	0.775
GNF-00-0325-0295-7	SID7205981	6397	AN3-CA-ECHO	AN3-CA	70213	>	20.0				0.8	0.3		0.727	1.11	1.1	1.178	0.976	1.039	1.116	0.759
GNF-00-0325-0295-7	SID7205981	6397	AN3-CA-ECHO	AN3-CA	70213	>	20.0		0.613		1.047	0.0	-3.33	0.6	1.161	0.952	1.176	1.18	1.065	0.936	0.852
GNF-00-0325-0295-7	SID7205981	6397	AN3-CA-ECHO	AN3-CA	70213	>	20.0		0.883		1.078	0.0	-1.813	0.718	1.051	0.982	1.142	1.082	1.058	1.107	0.881
GNF-00-0325-0295-7	SID7205981	6189	BGC-823-ECHO	BGC-823	69957	>	20.0				0.944	0.3		0.984	0.921	0.98	0.988	1.139	1.123	1.097	0.944
GNF-00-0325-0295-7	SID7205981	6189	BGC-823-ECHO	BGC-823	69957	>	20.0				0.956	0.3		0.927	0.938	0.884	1.201	1.107	0.945	0.989	0.956
GNF-00-0325-0295-7	SID7205981	6189	BGC-823-ECHO	BGC-823	69957	>	20.0				0.854	0.3		0.932	0.852	1.062	1.139	1.035	1.307	0.878	0.854
GNF-00-0325-0295-7	SID7205981	6189	BGC-823-ECHO	BGC-823	70841	>	20.0				0.8	0.3		0.752	0.907	0.855	0.883	0.965	1.02	0.864	0.763
GNF-00-0325-0295-7	SID7205981	6189	BGC-823-ECHO	BGC-823	70841	=	18.434	5.343	0.802	Low Confidence	1.03	0.0	-3.014	0.452	1.016	0.866	1.172	0.981	1.166	1.023	0.969
GNF-00-0325-0295-7	SID7205981	6189	BGC-823-ECHO	BGC-823	70841	>	20.0		0.948		1.052	0.0	-1.432	0.634	0.978	0.997	1.265	1.091	1.046	1.097	1.004
GNF-00-0325-0295-7	SID7205981	6398	BT-20-ECHO	BT-20	70214	>	20.0				0.976	0.3		0.872	0.932	0.832	0.872	1.064	1.18	1.036	0.976
GNF-00-0325-0295-7	SID7205981	6398	BT-20-ECHO	BT-20	70214	>	20.0		0.809		1.168	0.3	-0.348	0.804	0.825	0.87	0.997	1.174	1.141	0.804	1.075
GNF-00-0325-0295-7	SID7205981	6398	BT-20-ECHO	BT-20	70214	=	15.771	4.764	0.909	Missing Bottom	1.159	0.0	-1.573	0.468	1.013	1.08	0.658	1.101	1.245	1.278	1.055
GNF-00-0325-0295-7	SID7205981	6513	BT-474-ECHO	BT-474	72390	>	20.0				1.025	0.3		0.862	1.162	0.976	1.053	1.375	1.103	0.891	1.025
GNF-00-0325-0295-7	SID7205981	6513	BT-474-ECHO	BT-474	72390	>	20.0		0.545		1.145	0.0	-3.33	0.846	1.176	1.269	1.25	1.005	1.159	1.139	1.013
GNF-00-0325-0295-7	SID7205981	6513	BT-474-ECHO	BT-474	72390	>	20.0		0.782		1.176	0.3	-1.209	0.783	1.04	1.183	1.228	1.068	1.069	1.253	1.24
GNF-00-0325-0295-7	SID7205981	6368	C32-ECHO	C32	69904	>	20.0		0.911		1.016	0.3	-1.716	0.785	0.98	1.069	0.985	1.018	1.004	1.008	0.879
GNF-00-0325-0295-7	SID7205981	6368	C32-ECHO	C32	69904	>	20.0				0.909	0.3		0.854	1.013	0.8	0.952	1.026	0.997	1.056	0.909
GNF-00-0325-0295-7	SID7205981	6368	C32-ECHO	C32	69904	>	20.0		0.71		0.966	0.0	-3.33	0.643	1.084	0.938	0.912	0.851	1.034	0.954	0.96
GNF-00-0325-0295-7	SID7205981	6423	CAL-12T-ECHO	CAL-12T	69854	>	20.0				0.892	0.3		0.686	0.972	0.854	1.146	1.019	1.101	1.101	0.892
GNF-00-0325-0295-7	SID7205981	6423	CAL-12T-ECHO	CAL-12T	69854	=	19.442	4.229	0.914	Missing Bottom	1.011	0.0	-1.061	0.497	0.815	0.988	0.902	1.091	0.74	1.045	0.962
GNF-00-0325-0295-7	SID7205981	6423	CAL-12T-ECHO	CAL-12T	69854	>	5.0				0.986	0.3			0.903	1.105	0.971	0.894	1.036	0.934	0.986
GNF-00-0325-0295-7	SID7205981	6190	CAL27-ECHO	CAL27	70842	>	20.0				0.882	0.3		0.994	0.848	0.992	1.064	0.937	0.986	0.948	0.882
GNF-00-0325-0295-7	SID7205981	6190	CAL27-ECHO	CAL27	70842	>	20.0				0.8	0.3		0.817	0.983	0.896	0.967	0.921	1.018	0.857	0.667
GNF-00-0325-0295-7	SID7205981	6190	CAL27-ECHO	CAL27	70842	>	20.0				0.8	0.3		0.844	1.098	0.953	0.913	1.002	1.161	0.941	0.681
GNF-00-0325-0295-7	SID7205981	6280	Calu-1-ECHO	Calu-1	69855	>	20.0		0.963		1.094	0.0	-0.605	0.552	1.07	0.939	0.971	1.105	1.046	1.134	1.057
GNF-00-0325-0295-7	SID7205981	6280	Calu-1-ECHO	Calu-1	69855	>	20.0		0.68		1.006	0.0	-3.33	0.694	1.063	0.999	1.073	0.95	1.09	1.007	0.86
GNF-00-0325-0295-7	SID7205981	6280	Calu-1-ECHO	Calu-1	69855	>	20.0				0.8	0.3		0.759	1.013	1.001	1.149	1.133	1.022	1.088	0.784
GNF-00-0325-0295-7	SID7205981	6407	CHL-1-ECHO	CHL-1	70571	=	10.729	3.395	0.867	Low Confidence	1.034	0.0	-3.33	0.0625	1.036	1.186	0.835	0.956	1	1.222	0.94
GNF-00-0325-0295-7	SID7205981	6407	CHL-1-ECHO	CHL-1	70571	=	5.46	3.729	0.858	Low Confidence	1.111	0.045	-3.289	0.0599	0.655	1.101	1.229	1.043	1.105	1.365	0.817
