CCLE name	Cell line primary name	Cell line aliases	Gender	Site Primary	Histology	Hist Subtype1	Notes	Source	Expression arrays	SNP arrays	Oncomap	Hybrid Capture Sequencing
1321N1_CENTRAL_NERVOUS_SYSTEM	1321N1		M	central_nervous_system	glioma	astrocytoma	Identical lines: U-118 MG, U-138 MG and 1321N1 share high SNP identity	ECACC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B06_296024	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E09_293392	yes	
143B_BONE	143B		F	bone	osteosarcoma	NS	Identical lines: HTK-, HOS and 143B share high SNP identity and are very likely to be osteosarcoma	ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F09_454702	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D02_464552	yes	
22RV1_PROSTATE	22Rv1		M	prostate	carcinoma	NS		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_F06_296120	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C09_246674	yes	yes
2313287_STOMACH	23132/87		M	stomach	carcinoma	adenocarcinoma		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_E11_474718	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D06_490336	yes	yes
253JBV_URINARY_TRACT	253J-BV		U	urinary_tract	carcinoma	transitional_cell_carcinoma	Identical lines: 253J and 253J-BV share high SNP identity	KCLB	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A05_569490		yes	yes
253J_URINARY_TRACT	253J			urinary_tract	carcinoma	transitional_cell_carcinoma	Identical lines: 253J and 253J-BV share high SNP identity	KCLB	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A03_569510		yes	yes
42MGBA_CENTRAL_NERVOUS_SYSTEM	42-MG-BA		M	central_nervous_system	glioma	astrocytoma_Grade_IV		DSMZ	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B02_296016	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E05_293384	yes	yes
5637_URINARY_TRACT	5637		M	urinary_tract	carcinoma	NS		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_F08_436450	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C05_578366	yes	yes
59M_OVARY	59M		F	ovary	carcinoma	NS		ECACC	GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_A10_779748	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F10_578312	yes	yes
639V_URINARY_TRACT	639-V		M	urinary_tract	carcinoma	transitional_cell_carcinoma		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_G06_474746	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F05_698718	yes	yes
647V_URINARY_TRACT	647-V		M	urinary_tract	carcinoma	transitional_cell_carcinoma		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_H02_474606	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F05_542896	yes	yes
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_E04_474704	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F12_578410	yes	yes
769P_KIDNEY	769-P		F	kidney	carcinoma	clear_cell_renal_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A05_240858	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D06_578342	yes	yes
786O_KIDNEY	786-O	786-0	M	kidney	carcinoma	clear_cell_renal_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A07_240862	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E12_256120	yes	yes
8305C_THYROID	8305C		F	thyroid	carcinoma	anaplastic_carcinoma		DSMZ	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B12_523504	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B05_698562	yes	yes
8505C_THYROID	8505C		F	thyroid	carcinoma	anaplastic_carcinoma		HSRRB	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_D05_474716	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E06_464702	yes	yes
